"  I found playing the games console to be enjoyable","  I had fun using the games console ","  Using the games console was boring","  The games console really annoyed me","  The games console experience was pleasurable","  The games console left me unsatisfied ","  I had a lot of control ","  I could chose freely what I wanted to see or do in the games","  I had little control over what I could do","  I was in control ","  I had no control over my interaction","  I was allowed to control my interaction ","  I was able to block out most other distractions","  I was absorbed in what I was doing","  I was immersed in the games","  I was distracted by other attentions very easily","  Time appeared to go by very quickly using the games console","  I lost track of time when I was playing the games ","  Time ""flew"" when I played the games console","  This experience excited my curiosity ","  This experience made me curious ","  This experience aroused my imagination ","  My interaction with the games console was clear and understandable ","  Interacting with the games console did not require a lot of my mental effort ","  I found the games console to be trouble free","  I found it easy to get the games console to do what I want it to do","  It was simple to do what I wanted with the games console ","  It was easy for me to become skilful at using the games console ","  I found the games console easy to use ","  The games console decreased my stress","  The games console helped me better pass time","  The games console provided a useful escape ","  The games console helped me to think more clearly ","  The games console helped me feel rejuvenated ","  I would plan on using it in the future ","  I would intend to continue using it in the future ","  I expect my use of it to continue in the future "
"7","5","2","3","5","4","2","3","5","4","3","5","6","7","6","2","7","7","7","6","6","4","3","3","3","3","5","5","4","4","6","7","5","5","6","6","5"
"2","5","2","6","4","7","3","1","4","3","3","5","3","5","5","7","6","6","6","6","6","5","6","3","2","3","3","4","3","3","5","5","2","4","3","3","4"
"5","5","3","5","4","3","2","6","5","3","2","5","5","6","6","2","6","6","6","7","7","5","7","7","5","6","6","6","6","2","7","6","2","5","6","6","6"
"5","5","2","3","4","5","3","5","3","5","1","6","6","5","5","2","5","3","3","6","6","6","3","5","3","3","3","3","6","3","5","5","4","3","5","5","3"
"5","5","2","4","5","3","5","4","3","5","1","7","7","7","6","2","6","6","6","6","6","3","7","6","6","6","6","6","6","3","6","6","4","5","6","6","6"
"5","5","3","4","6","5","3","3","5","4","2","6","7","7","7","1","5","6","5","6","6","5","4","3","3","3","3","3","4","6","6","6","4","5","3","4","4"
"1","2","6","4","3","6","4","2","6","4","6","6","6","4","3","2","5","7","6","4","5","2","3","2","6","3","3","5","6","1","3","3","1","4","2","2","2"
"5","6","2","5","5","7","3","3","5","4","2","6","5","7","7","2","7","7","7","6","6","4","6","6","2","5","4","6","5","2","6","4","2","3","3","3","3"
"2","3","4","5","3","5","5","2","5","3","3","3","3","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","3","5","3","4","4","4","4","4","4","4"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","7","4","5","5","4","5","5","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","4","5","3","5","5","3","5","4","5","4"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","3","4","3","3","4","5","4","3","4","3","4","4","3","4","5","5","4","4","3","4","5","4","3","4","4","4","3","4","4","5","4","3","4","4","4","3"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

